orig_index,Spectra,gv_fraction,npv_fraction,soil_fraction
1667,SSC_BAPI08_20111107,0.46526501,0.53473502,0.00000000
1116,Resid100,0.00591716,0.34319490,0.65088785
974,CHI_CECU12_20120225,0.58187598,0.41812399,0.00000000
417,QUE_T1.01.A,0.00000000,0.96200383,0.03799620
616,QUE_T2.08.J,0.00000000,0.25000000,0.75000000
1124,OPE3_003,0.03846148,0.46794879,0.49358976
824,SSC_SALE10_20110606,0.21517900,0.78482097,0.00000000
183,NF_031,0.00000000,0.02564100,0.97435898
1583,SSI_BAPI01_20110927,0.71727002,0.28273001,0.00000000
886,SSC_BAPI06_20120113,0.51373899,0.48626101,0.00000000
1115,Resid099,0.00000000,0.47337300,0.52662700
593,QUE_T2.04.G,0.00000000,0.54118353,0.45881644
1711,CHI_ADFA09_20111216,0.64051801,0.35948199,0.00000000
1327,COP_20160526_2-30-E,0.27310872,0.72689128,0.00000000
902,SSC_SALE03_20120126,0.71609700,0.28390300,0.00000000
1095,Resid076,0.01183430,0.17751496,0.81065083
111,Res025,0.00331126,0.75827783,0.23841093
1056,Resid035,0.00000000,0.98224854,0.01775149
1465,sn_a_100,0.16437501,0.83562499,0.00000000
1517,SSI_SALE08_20110830,0.15955301,0.84044701,0.00000000
227,NF_084,0.00000000,0.00000000,1.00000000
1091,Resid072,0.00000000,0.02366861,0.97633141
806,SSC_ARCA02_20110606,0.41948801,0.58051199,0.00000000
1334,COP_20160526_5-40-W,0.00490173,0.99509829,0.00000000
1186,SF_027,0.96153849,0.03846152,0.00000000
1238,SF_087,0.15384600,0.23076899,0.61538500
1403,QUE_T3.08.F,0.00000000,0.08000000,0.92000002
284,FSP_054,0.29487193,0.05769229,0.64743584
50,Resop115,0.16568001,0.73372799,0.10059200
66,Resop131,0.21301800,0.18343200,0.60355002
748,SSC_ARCA01_20110510,0.62175697,0.37824300,0.00000000
115,Res029,0.47019899,0.01324500,0.51655602
403,COP_20160220_5-40-W,0.51683098,0.48316899,0.00000000
1412,QUE_T3.09.E,0.00000000,0.46000001,0.54000002
1722,CHI_CECU11_20111216,0.46728101,0.53271902,0.00000000
1047,Resid024,0.00000000,0.11242600,0.88757402
936,CHC_CEME02_20120128,0.32160199,0.67839801,0.00000000
1599,SSC_BAPI03_20110930,0.39684501,0.60315502,0.00000000
360,COP_20160112_2-30-E,0.12588900,0.87411100,0.00000000
873,SSC_BAPI05_20110615,0.52858001,0.47141999,0.00000000
1536,CHI_ADFA08_20110908,0.19904900,0.80095100,0.00000000
583,QUE_T2.03.G,0.00000000,0.57591522,0.42408481
1452,pr_a_060,0.28375000,0.71625000,0.00000000
202,NF_055,0.07692309,0.32692298,0.59615391
1471,sa_c_000,0.21948799,0.78051198,0.00000000
968,CHI_CECU05_20120225,0.67302400,0.32697600,0.00000000
40,Resop100,0.00000000,0.09467464,0.90532535
