epoch,train_mse,val_mse,val_r2,lr,time_sec
1,8.86211417e-02,5.47714700e-02,0.416124,1.000000e-03,12.92
2,3.65140510e-02,2.90518833e-02,0.689837,1.000000e-03,12.98
3,2.18040215e-02,2.15400737e-02,0.766786,1.000000e-03,13.17
4,1.69711445e-02,2.19559988e-02,0.759243,1.000000e-03,13.33
5,1.39759347e-02,1.51850893e-02,0.832574,1.000000e-03,13.33
6,1.20654666e-02,1.35138658e-02,0.851106,1.000000e-03,13.46
7,1.06280676e-02,1.47517161e-02,0.839461,1.000000e-03,13.62
8,8.79733126e-03,1.10338329e-02,0.878180,1.000000e-03,13.65
9,6.58522350e-03,1.07196528e-02,0.882796,1.000000e-03,13.59
10,7.03874346e-03,9.28777919e-03,0.896885,1.000000e-03,13.82
11,5.74914837e-03,1.17068892e-02,0.872503,1.000000e-03,13.54
12,5.51350764e-03,1.00931047e-02,0.888305,1.000000e-03,13.58
13,4.36955260e-03,1.25662571e-02,0.861731,1.000000e-03,13.54
14,4.49784886e-03,9.78931262e-03,0.891769,1.000000e-03,14.23
15,3.75608447e-03,9.12862872e-03,0.899771,1.000000e-03,13.61
16,3.75326900e-03,1.00086706e-02,0.889467,1.000000e-03,13.71
17,3.00544488e-03,8.11520909e-03,0.910539,1.000000e-03,13.61
18,2.61887886e-03,7.91962830e-03,0.911939,1.000000e-03,13.61
19,2.82679230e-03,9.06711266e-03,0.899612,1.000000e-03,13.70
20,3.43601007e-03,1.00507850e-02,0.890071,1.000000e-03,13.63
21,2.89880218e-03,8.09078588e-03,0.910181,1.000000e-03,13.54
22,2.37114342e-03,9.55069794e-03,0.894126,1.000000e-03,14.95
23,2.48552553e-03,8.58708986e-03,0.905230,1.000000e-03,15.93
24,2.23211075e-03,8.49669450e-03,0.906268,1.000000e-03,16.78
25,1.77172367e-03,7.95676114e-03,0.911350,1.000000e-03,17.15
26,1.65568764e-03,8.19896329e-03,0.909424,5.000000e-04,16.92
27,1.32887911e-03,7.40917731e-03,0.917638,5.000000e-04,16.32
28,9.98605953e-04,7.47582851e-03,0.917159,5.000000e-04,16.35
29,8.46984809e-04,7.88853478e-03,0.912631,5.000000e-04,15.99
30,8.74751398e-04,7.79661644e-03,0.913755,5.000000e-04,15.66
31,7.77492053e-04,7.80873177e-03,0.913620,5.000000e-04,15.23
32,7.15784988e-04,7.73082979e-03,0.914183,5.000000e-04,14.99
33,6.93045631e-04,7.61266643e-03,0.915724,5.000000e-04,14.82
34,6.92329014e-04,7.82233643e-03,0.913116,5.000000e-04,14.72
35,7.00646886e-04,7.75152622e-03,0.914434,2.500000e-04,14.64
36,5.63195933e-04,7.78200632e-03,0.913744,2.500000e-04,14.59
37,5.43122886e-04,7.60821535e-03,0.915629,2.500000e-04,14.70
38,5.16445086e-04,7.62518634e-03,0.915290,2.500000e-04,15.08
39,4.85351030e-04,7.83846590e-03,0.913072,2.500000e-04,16.65
40,4.80897397e-04,7.93062193e-03,0.912014,2.500000e-04,15.18
41,4.45529685e-04,7.83506863e-03,0.913175,2.500000e-04,15.23
42,4.68812281e-04,7.64614696e-03,0.915132,2.500000e-04,14.77
