epoch,train_mse,val_mse,val_r2,lr,time_sec
1,7.31743864e-02,5.80387923e-02,0.387376,1.000000e-03,5.90
2,4.21546827e-02,4.30467535e-02,0.543840,1.000000e-03,5.98
3,2.74616417e-02,2.74683657e-02,0.706622,1.000000e-03,6.14
4,1.97202553e-02,2.01328802e-02,0.783634,1.000000e-03,6.23
5,1.54102132e-02,2.17786956e-02,0.762634,1.000000e-03,6.35
6,1.30485949e-02,1.40336802e-02,0.846424,1.000000e-03,6.99
7,1.03442501e-02,1.48893276e-02,0.834898,1.000000e-03,6.25
8,1.02171797e-02,1.13217062e-02,0.875422,1.000000e-03,6.85
9,9.14963656e-03,1.06134930e-02,0.882622,1.000000e-03,6.34
10,8.54227795e-03,1.24307578e-02,0.863704,1.000000e-03,6.52
11,7.60379045e-03,1.06718872e-02,0.881751,1.000000e-03,6.76
12,6.71211821e-03,1.18406347e-02,0.869512,1.000000e-03,6.60
13,6.38320542e-03,1.40461098e-02,0.845153,1.000000e-03,6.56
14,6.64850346e-03,9.28179744e-03,0.896696,1.000000e-03,6.55
15,5.48696542e-03,1.01601788e-02,0.887579,1.000000e-03,6.59
16,4.58663785e-03,8.44565120e-03,0.905959,1.000000e-03,6.61
17,3.86036123e-03,9.32539778e-03,0.897475,1.000000e-03,6.61
18,4.62493625e-03,1.29431585e-02,0.859080,1.000000e-03,7.02
19,5.62951053e-03,1.20462753e-02,0.866630,1.000000e-03,6.68
20,4.64046504e-03,8.90407538e-03,0.901722,1.000000e-03,7.03
21,4.02389964e-03,9.20028837e-03,0.898066,1.000000e-03,6.71
22,4.56772297e-03,1.21805417e-02,0.862705,1.000000e-03,6.70
23,5.05171283e-03,8.91360169e-03,0.900453,1.000000e-03,6.68
24,4.63151939e-03,8.67997295e-03,0.904449,5.000000e-04,6.71
25,3.11444819e-03,8.40283605e-03,0.906924,5.000000e-04,6.66
26,2.48766875e-03,7.66492845e-03,0.914627,5.000000e-04,6.47
27,2.13006869e-03,7.66235564e-03,0.914533,5.000000e-04,6.75
28,2.10771792e-03,7.62419045e-03,0.914791,5.000000e-04,6.73
29,2.00507699e-03,7.69705702e-03,0.914042,5.000000e-04,6.77
30,1.98729294e-03,8.15407352e-03,0.909689,5.000000e-04,7.41
31,1.83402022e-03,7.97860497e-03,0.910919,5.000000e-04,7.58
32,1.70988814e-03,7.25131232e-03,0.918832,5.000000e-04,7.62
33,1.75333089e-03,7.64366156e-03,0.915173,5.000000e-04,7.40
34,1.75572207e-03,7.95445249e-03,0.911570,5.000000e-04,7.63
35,1.54722100e-03,7.44660664e-03,0.916830,5.000000e-04,8.49
36,1.52011058e-03,7.83438149e-03,0.913161,5.000000e-04,7.75
37,1.70715811e-03,7.79029854e-03,0.913036,5.000000e-04,7.64
38,1.43522456e-03,7.69963272e-03,0.914171,5.000000e-04,7.56
39,1.40274385e-03,8.05340172e-03,0.910035,5.000000e-04,7.66
40,1.50912657e-03,8.00571246e-03,0.911389,2.500000e-04,7.51
41,1.29251032e-03,7.67960830e-03,0.914543,2.500000e-04,8.68
42,1.17517495e-03,7.51612318e-03,0.916294,2.500000e-04,8.48
43,1.11465511e-03,7.69136168e-03,0.914156,2.500000e-04,7.51
44,1.06827758e-03,7.55015024e-03,0.915833,2.500000e-04,7.34
45,1.01183546e-03,7.71913413e-03,0.913995,2.500000e-04,7.38
46,1.01439424e-03,7.69811957e-03,0.914353,2.500000e-04,8.06
47,1.03582905e-03,7.69343533e-03,0.914202,2.500000e-04,7.40
