epoch,train_mse,val_mse,val_r2,lr,time_sec
1,7.75124085e-02,6.61806456e-02,0.300989,1.000000e-03,1.63
2,5.76130123e-02,6.04947319e-02,0.358906,1.000000e-03,1.52
3,4.92996461e-02,4.74998067e-02,0.495339,1.000000e-03,1.70
4,3.54158852e-02,3.57734464e-02,0.619845,1.000000e-03,1.50
5,2.61685440e-02,2.95513658e-02,0.685370,1.000000e-03,2.05
6,2.50942432e-02,2.62303755e-02,0.719179,1.000000e-03,1.51
7,2.09442251e-02,2.40337655e-02,0.741990,1.000000e-03,1.51
8,1.72149539e-02,2.08893128e-02,0.774469,1.000000e-03,1.91
9,1.60674306e-02,1.93932685e-02,0.789821,1.000000e-03,1.58
10,1.44802171e-02,2.08921111e-02,0.775629,1.000000e-03,1.53
11,1.43296859e-02,1.84277538e-02,0.797991,1.000000e-03,1.95
12,1.26777539e-02,1.52929923e-02,0.833220,1.000000e-03,1.88
13,1.21862430e-02,1.62434364e-02,0.821304,1.000000e-03,1.59
14,1.16792501e-02,1.79959468e-02,0.802384,1.000000e-03,1.67
15,1.20648547e-02,1.46884591e-02,0.838864,1.000000e-03,1.78
16,1.05889902e-02,1.35036758e-02,0.851740,1.000000e-03,1.82
17,9.63203623e-03,1.23780196e-02,0.863714,1.000000e-03,1.68
18,8.91497295e-03,1.30775695e-02,0.856464,1.000000e-03,1.59
19,8.94044219e-03,1.27691097e-02,0.859900,1.000000e-03,2.18
20,8.34943203e-03,1.18800360e-02,0.868807,1.000000e-03,1.62
21,7.80940053e-03,1.18970257e-02,0.868807,1.000000e-03,1.53
22,8.10385111e-03,1.35609224e-02,0.848468,1.000000e-03,1.53
23,8.09633748e-03,1.09485667e-02,0.879151,1.000000e-03,1.75
24,7.25953155e-03,1.30042715e-02,0.854878,1.000000e-03,1.52
25,7.23740606e-03,1.15575847e-02,0.872702,1.000000e-03,1.52
26,7.32584108e-03,1.33238784e-02,0.850410,1.000000e-03,1.77
27,8.37713485e-03,1.09126819e-02,0.879166,1.000000e-03,1.52
28,6.29768218e-03,1.10968703e-02,0.876653,1.000000e-03,1.52
29,6.09481699e-03,1.02919083e-02,0.885976,1.000000e-03,1.53
30,5.83175782e-03,1.14727984e-02,0.872962,1.000000e-03,1.52
31,6.15670797e-03,9.79892551e-03,0.891514,1.000000e-03,1.75
32,6.31470853e-03,1.01985491e-02,0.887112,1.000000e-03,1.54
33,6.11291328e-03,1.05441798e-02,0.882510,1.000000e-03,1.57
34,5.81946842e-03,1.07173339e-02,0.880478,1.000000e-03,1.53
35,5.15876727e-03,9.34719955e-03,0.896161,1.000000e-03,1.75
36,5.05229927e-03,9.29556903e-03,0.896664,1.000000e-03,1.52
37,4.78811363e-03,1.08135507e-02,0.880382,1.000000e-03,1.52
38,4.95103185e-03,9.29877319e-03,0.897123,1.000000e-03,1.53
39,4.93601646e-03,1.01419614e-02,0.888130,1.000000e-03,1.74
40,6.57464347e-03,1.34019083e-02,0.849203,1.000000e-03,1.53
41,7.66941219e-03,1.16123427e-02,0.870928,1.000000e-03,1.54
42,7.18124787e-03,1.04069540e-02,0.884631,1.000000e-03,1.76
43,5.03947089e-03,9.73370434e-03,0.892404,1.000000e-03,1.53
44,4.72439495e-03,8.89759937e-03,0.901173,1.000000e-03,1.55
45,4.51350924e-03,8.94676422e-03,0.900851,1.000000e-03,1.53
46,4.37117249e-03,1.20312185e-02,0.864838,1.000000e-03,1.76
47,4.74502935e-03,8.89838505e-03,0.901192,1.000000e-03,1.54
48,4.19383498e-03,9.03143471e-03,0.899909,1.000000e-03,1.55
49,4.00316027e-03,8.90679972e-03,0.901337,1.000000e-03,1.54
50,4.26660492e-03,9.17570553e-03,0.897880,1.000000e-03,1.76
51,3.94174014e-03,9.99371885e-03,0.890103,1.000000e-03,1.55
52,5.21503973e-03,1.15106638e-02,0.870780,5.000000e-04,1.54
53,5.10877159e-03,9.86783504e-03,0.889936,5.000000e-04,1.54
54,3.93990898e-03,8.61114499e-03,0.904151,5.000000e-04,1.74
55,3.49986841e-03,8.63416369e-03,0.904203,5.000000e-04,1.54
56,3.29541830e-03,8.36507971e-03,0.907128,5.000000e-04,1.54
57,3.27062085e-03,8.57320299e-03,0.904723,5.000000e-04,1.76
58,3.22705062e-03,9.59068538e-03,0.892889,5.000000e-04,1.54
59,3.27838858e-03,8.39000667e-03,0.906872,5.000000e-04,1.55
60,3.27251961e-03,8.45169930e-03,0.906190,5.000000e-04,1.55
61,3.35484823e-03,8.39808501e-03,0.906790,5.000000e-04,1.77
62,3.27891808e-03,8.66925821e-03,0.903585,5.000000e-04,1.55
63,3.64513740e-03,9.21671245e-03,0.897010,5.000000e-04,1.56
64,3.45922646e-03,8.30059183e-03,0.907865,5.000000e-04,1.85
65,3.38683077e-03,8.47687002e-03,0.906199,5.000000e-04,1.55
66,3.43645950e-03,9.48331824e-03,0.894973,5.000000e-04,1.56
67,3.10380888e-03,8.63775733e-03,0.904257,5.000000e-04,1.54
68,3.13603880e-03,8.41272106e-03,0.906725,5.000000e-04,1.78
69,3.01118473e-03,9.63071890e-03,0.892451,5.000000e-04,1.56
70,3.22624743e-03,8.39664485e-03,0.906610,5.000000e-04,1.55
71,2.85101770e-03,8.60826643e-03,0.904614,5.000000e-04,1.73
72,2.83462997e-03,9.33286748e-03,0.896564,2.500000e-04,1.71
73,2.71972165e-03,8.52875821e-03,0.905418,2.500000e-04,1.55
74,2.53276959e-03,8.32061900e-03,0.907698,2.500000e-04,1.55
75,2.60505502e-03,8.52162179e-03,0.905546,2.500000e-04,1.71
76,2.53769116e-03,8.34907027e-03,0.907475,2.500000e-04,1.64
77,2.49128761e-03,8.48081967e-03,0.905779,2.500000e-04,1.55
78,2.64309588e-03,8.67969418e-03,0.903710,2.500000e-04,1.55
79,2.44342162e-03,8.36348291e-03,0.907236,2.500000e-04,1.84
