epoch,train_mse,val_mse,val_r2,lr,time_sec
1,1.34669810e-01,6.99744061e-02,0.246558,1.000000e-03,27.18
2,4.46153565e-02,3.24342464e-02,0.649601,1.000000e-03,27.50
3,2.30379393e-02,2.24751807e-02,0.760178,1.000000e-03,27.72
4,1.49941982e-02,1.67887170e-02,0.818928,1.000000e-03,28.36
5,1.07084345e-02,1.34187858e-02,0.852890,1.000000e-03,28.32
6,9.94851484e-03,1.38371593e-02,0.849635,1.000000e-03,28.51
7,8.68209638e-03,1.40754157e-02,0.843595,1.000000e-03,28.64
8,8.90458514e-03,1.06746214e-02,0.882816,1.000000e-03,28.84
9,6.21562073e-03,9.74024487e-03,0.892475,1.000000e-03,28.97
10,5.18317676e-03,8.86315193e-03,0.901969,1.000000e-03,29.45
11,4.55446227e-03,1.04817763e-02,0.886302,1.000000e-03,29.57
12,3.94477478e-03,9.32150704e-03,0.897473,1.000000e-03,29.57
13,3.35192308e-03,8.89079430e-03,0.902366,1.000000e-03,29.52
14,3.23731067e-03,8.87325817e-03,0.903526,1.000000e-03,29.96
15,2.80449171e-03,8.54440272e-03,0.905356,1.000000e-03,29.54
16,2.22024983e-03,7.92816380e-03,0.912491,1.000000e-03,29.62
17,2.04630345e-03,8.48333713e-03,0.906998,1.000000e-03,29.68
18,2.46224557e-03,9.72304249e-03,0.892300,1.000000e-03,29.92
19,2.48490136e-03,8.86037439e-03,0.903876,1.000000e-03,29.81
20,2.66620799e-03,7.84435494e-03,0.912646,1.000000e-03,29.83
21,2.64604820e-03,9.09413646e-03,0.900568,1.000000e-03,31.11
22,2.05078730e-03,7.89717398e-03,0.912798,1.000000e-03,30.34
23,1.68415175e-03,8.52230396e-03,0.906822,1.000000e-03,30.04
24,1.38418822e-03,7.48320438e-03,0.917189,1.000000e-03,29.79
25,1.36599904e-03,8.43044624e-03,0.907428,1.000000e-03,30.21
26,1.42464760e-03,8.47792564e-03,0.906769,1.000000e-03,30.06
27,1.14515049e-03,7.77260527e-03,0.914155,1.000000e-03,30.29
28,1.32039797e-03,8.41904892e-03,0.906899,1.000000e-03,30.43
29,1.24185120e-03,7.97739342e-03,0.912269,1.000000e-03,31.09
30,1.00763286e-03,7.50933966e-03,0.916974,1.000000e-03,33.63
31,8.55470095e-04,7.86012410e-03,0.913813,1.000000e-03,32.65
32,7.86651996e-04,7.72309082e-03,0.914867,5.000000e-04,32.69
33,6.00332231e-04,7.68263187e-03,0.915714,5.000000e-04,31.96
34,4.01107558e-04,7.47906761e-03,0.917542,5.000000e-04,31.85
35,3.11507653e-04,7.67593033e-03,0.915575,5.000000e-04,33.71
36,2.56651550e-04,7.69666141e-03,0.915530,5.000000e-04,32.70
37,2.34663183e-04,7.82785633e-03,0.914098,5.000000e-04,32.07
38,2.24995936e-04,7.89202088e-03,0.913271,5.000000e-04,32.03
39,2.07596185e-04,7.55021330e-03,0.916984,5.000000e-04,32.46
40,1.89139220e-04,7.80491427e-03,0.914227,5.000000e-04,32.68
41,1.83831955e-04,7.89460906e-03,0.913312,5.000000e-04,32.94
42,1.84275390e-04,7.83589097e-03,0.913752,2.500000e-04,33.42
43,1.60010213e-04,7.79004039e-03,0.914458,2.500000e-04,32.95
44,1.41320029e-04,7.81282289e-03,0.914114,2.500000e-04,32.19
45,1.33919909e-04,7.84360613e-03,0.913854,2.500000e-04,32.33
46,1.26781966e-04,7.76886211e-03,0.914593,2.500000e-04,31.82
47,1.20259953e-04,7.84921400e-03,0.913740,2.500000e-04,31.89
48,1.19523490e-04,7.79697085e-03,0.914210,2.500000e-04,33.73
49,1.19400817e-04,7.87258767e-03,0.913516,2.500000e-04,32.77
