epoch,train_mse,val_mse,val_r2,lr,time_sec
1,7.73411167e-02,7.19003329e-02,0.235505,1.000000e-03,0.46
2,6.47074272e-02,6.65287701e-02,0.295046,1.000000e-03,0.57
3,5.91590298e-02,6.41933701e-02,0.320747,1.000000e-03,0.56
4,5.71080888e-02,6.28477214e-02,0.334609,1.000000e-03,0.43
5,5.51994110e-02,5.97894124e-02,0.367857,1.000000e-03,0.44
6,5.23175107e-02,5.66103956e-02,0.401394,1.000000e-03,0.48
7,4.89268981e-02,5.31638000e-02,0.437395,1.000000e-03,0.43
8,4.49776066e-02,4.81077498e-02,0.490319,1.000000e-03,0.44
9,4.02918057e-02,4.34716357e-02,0.539026,1.000000e-03,0.47
10,3.65661810e-02,4.05763660e-02,0.568722,1.000000e-03,1.05
11,3.31046161e-02,3.81979339e-02,0.593664,1.000000e-03,0.54
12,3.06550180e-02,3.60487857e-02,0.616336,1.000000e-03,0.44
13,2.88812312e-02,3.48822580e-02,0.627686,1.000000e-03,0.56
14,2.79489161e-02,3.49772842e-02,0.626577,1.000000e-03,0.46
15,2.72353561e-02,3.22968712e-02,0.655251,1.000000e-03,0.43
16,2.53031094e-02,3.16350456e-02,0.662736,1.000000e-03,0.43
17,2.44045119e-02,3.04898042e-02,0.674584,1.000000e-03,0.43
18,2.37771808e-02,2.99860053e-02,0.680224,1.000000e-03,0.43
19,2.33011535e-02,2.96661702e-02,0.682023,1.000000e-03,0.43
20,2.43882491e-02,3.11716257e-02,0.665373,1.000000e-03,0.44
21,2.33346358e-02,3.03905731e-02,0.672576,1.000000e-03,0.45
22,2.18998934e-02,2.94820187e-02,0.684870,1.000000e-03,0.59
23,2.13497345e-02,2.73214018e-02,0.706701,1.000000e-03,0.50
24,2.05826475e-02,2.59241073e-02,0.722270,1.000000e-03,0.43
25,1.97606734e-02,2.55846592e-02,0.725505,1.000000e-03,0.43
26,1.92086192e-02,2.51897544e-02,0.729832,1.000000e-03,0.43
27,1.88091752e-02,2.50803043e-02,0.730451,1.000000e-03,0.43
28,1.85943929e-02,2.55218461e-02,0.724971,1.000000e-03,0.43
29,1.82267712e-02,2.37058405e-02,0.745306,1.000000e-03,0.46
30,1.76984839e-02,2.57268289e-02,0.721047,1.000000e-03,0.45
31,1.80822342e-02,2.45307240e-02,0.735086,1.000000e-03,0.42
32,1.73515226e-02,2.25420483e-02,0.756355,1.000000e-03,0.43
33,1.70006973e-02,2.26000728e-02,0.756088,1.000000e-03,0.47
34,1.63411217e-02,2.14735908e-02,0.767920,1.000000e-03,0.61
35,1.58207730e-02,2.14153307e-02,0.768218,1.000000e-03,0.43
36,1.53802155e-02,2.15290494e-02,0.766593,1.000000e-03,0.43
37,1.54210282e-02,2.08320408e-02,0.774535,1.000000e-03,0.43
38,1.50683003e-02,2.02548967e-02,0.780599,1.000000e-03,0.42
39,1.48887118e-02,2.20330802e-02,0.761262,1.000000e-03,0.45
40,1.46543072e-02,2.12647054e-02,0.769647,1.000000e-03,0.42
41,1.50707294e-02,2.04886308e-02,0.776760,1.000000e-03,0.42
42,1.43381553e-02,2.01532230e-02,0.781014,1.000000e-03,0.42
43,1.39830675e-02,1.91352463e-02,0.791694,1.000000e-03,0.43
44,1.35606087e-02,1.88725800e-02,0.794663,1.000000e-03,0.44
45,1.35368889e-02,2.12021371e-02,0.767764,1.000000e-03,0.64
46,1.40713193e-02,1.89423401e-02,0.794368,1.000000e-03,0.43
47,1.34634181e-02,1.88322679e-02,0.795302,1.000000e-03,0.42
48,1.33032446e-02,1.83391478e-02,0.800282,1.000000e-03,0.43
49,1.26218008e-02,1.85618897e-02,0.797552,1.000000e-03,0.42
50,1.26889431e-02,2.07231398e-02,0.774704,1.000000e-03,0.42
51,1.24167914e-02,1.80914315e-02,0.802810,1.000000e-03,0.43
52,1.24780951e-02,1.81125311e-02,0.802197,1.000000e-03,0.42
53,1.21480250e-02,1.82483765e-02,0.801023,1.000000e-03,0.42
54,1.18781066e-02,1.75735556e-02,0.808383,1.000000e-03,0.42
55,1.18425616e-02,1.85839158e-02,0.796573,1.000000e-03,0.43
56,1.22887088e-02,1.77856966e-02,0.805278,1.000000e-03,0.43
57,1.14199667e-02,1.68153020e-02,0.816141,1.000000e-03,0.57
58,1.11502867e-02,1.81632910e-02,0.801311,1.000000e-03,0.51
59,1.11562611e-02,1.68007789e-02,0.816137,1.000000e-03,0.42
60,1.12156877e-02,1.67410187e-02,0.816680,1.000000e-03,0.43
61,1.11048874e-02,1.69702324e-02,0.814206,1.000000e-03,0.43
62,1.10119631e-02,1.68588035e-02,0.815422,1.000000e-03,0.42
63,1.08483710e-02,1.68196966e-02,0.815856,1.000000e-03,0.43
64,1.14471980e-02,1.70323690e-02,0.814168,1.000000e-03,0.42
65,1.11868867e-02,1.66632829e-02,0.817714,1.000000e-03,0.42
66,1.06641034e-02,1.68053504e-02,0.816245,1.000000e-03,0.42
67,1.06581128e-02,1.60141490e-02,0.824512,1.000000e-03,0.44
68,1.03212517e-02,1.61568361e-02,0.823081,1.000000e-03,0.43
69,1.03288241e-02,1.72639784e-02,0.811505,1.000000e-03,0.43
70,1.04522022e-02,1.72763836e-02,0.811285,1.000000e-03,0.65
71,1.10382256e-02,1.63361843e-02,0.821208,1.000000e-03,0.43
72,1.05673994e-02,1.67103089e-02,0.816746,1.000000e-03,0.43
73,1.02874392e-02,1.63202327e-02,0.820968,1.000000e-03,0.43
74,1.00365043e-02,1.59788734e-02,0.824736,1.000000e-03,0.42
75,1.06037216e-02,1.73859353e-02,0.810218,1.000000e-03,0.42
76,9.87484226e-03,1.68693816e-02,0.814657,1.000000e-03,0.43
77,1.01189015e-02,1.65825111e-02,0.817724,1.000000e-03,0.42
78,9.51552820e-03,1.55850581e-02,0.828952,1.000000e-03,0.43
79,9.50786230e-03,1.55286685e-02,0.829637,1.000000e-03,0.42
80,9.37136004e-03,1.62835618e-02,0.821398,1.000000e-03,0.43
